codigo;nombre;costo;stock;stock_minimo;descripcion;type_insumo_id;precio;;;;;
0001;LITRO MOTUL TEKMA MEGA X 15W40 (BARRIL);39;2;1;;1;65;;;;;
0002;INSUMO PENDIENTE DE ASIGNAR;0;0;1;;10;0;;;;;
0003;LITRO CASTROL VECTON 15W40 SINTETICO (BARRIL);45;2;1;;1;75;;;;;
0004;FILTRO AIRE PAB 12050;66;9;1;;3;110;;;;;
0005;GARRAFA QUAKER 20W50 (5 LITROS);171;25;1;;1;285;;;;;
0006;GARRAFA QUAKER 10W40 (5 LITROS);198;31;1;;1;330;;;;;
0007;GAL�N QUAKER 15W40;177;20;1;;1;295;;;;;
0008;GARRAFA QUAKER SINTETICO 0W20 (5 LITROS);300;10;1;;1;500;;;;;
0009;GARRAFA QUAKER SINTETICO 5W20 (5 LITROS);300;10;1;;1;500;;;;;
0010;GARRAFA QUAKER SINTETICO 5W30 (5 LITROS);300;10;1;;1;500;;;;;
0011;GARRAFA QUAKER SINTETICO 10W30 (5 LITROS);231;10;1;;1;385;;;;;
0012;GARRAFA CASTROL GTX 20W20 (5 LITROS);195;10;1;;1;325;;;;;
0013;GAL�N CASTROL GTX 20W50 ;171;35;1;;1;285;;;;;
0014;GARRAFA CASTROL MAGNATEC 20W50 (5 LITROS);246;10;1;;1;410;;;;;
0015;GAL�N CASTROL MAGNATEC 20W50;207;75;1;;1;345;;;;;
0016;GAL�N CASTROL MAGNATEC 10W40;207;34;1;;1;345;;;;;
0017;GARRAFA CASTROL MAGNATEC 10W30 (5 LITROS);246;10;1;;1;410;;;;;
0018;GAL�N CASTROL MAGNATEC 10W30;207;3;1;;1;345;;;;;
0019;GAL�N CASTROL CRB 15W40;171;27;1;;1;285;;;;;
0020;GAL�N CASTROL VECTON 15W40;246;86;1;;1;410;;;;;
0021;GAL�N CASTROL CRB 25W60;177;46;1;;1;295;;;;;
0022;GARRAFA MOTUL 20W50 (5 LITROS);207;10;1;;1;345;;;;;
0023;GAL�N MOTUL 20W50;189;45;1;;1;315;;;;;
0024;GARRAFA MOTUL TEKMA MEGA X 15W40 (5 LITROS);225;10;1;;1;375;;;;;
0025;GARRAFA MOTUL 5W40 (5 LITROS);339;10;1;;1;565;;;;;
0026;GAL�N MOTUL 10W30;195;22;1;;1;325;;;;;
0027;GARRAFA EUROL 15W40 (6 LITROS);207;10;1;;1;345;;;;;
0028;GARRAFA EUROL 20W50 (5 LITROS);180;10;1;;1;300;;;;;
0029;GAL�N EUROL 10W40;180;21;1;;1;300;;;;;
0030;GARRAFA EUROL 10W30 (5 LITROS);180;10;1;;1;300;;;;;
0031;GARRAFA VALVOLINE 20W50 (5 LITROS);174;10;1;;1;290;;;;;
0032;GAL�N VALVOLINE 20W50;141;19;1;;1;235;;;;;
0033;GAL�N VALVOLINE 10W30;159;11;1;;1;265;;;;;
0034;GAL�N VALVOLINE 15W40;171;10;1;;1;285;;;;;
0035;GARRAFA VALVOLINE MAX LIFE 20W50 (5 LITROS);240;10;1;;1;400;;;;;
0036;GARRAFA VALVOLINE MAX LIFE 10W30 (5 LITROS);240;10;1;;1;400;;;;;
0037;GARRAFA VALVOLINE MAX LIFE 5W30 (5 LITROS);240;10;1;;1;400;;;;;
0038;GARRAFA VALVOLINE MAX LIFE 5W20 (5 LITROS);240;10;1;;1;400;;;;;
0039;GARRAFA VALVOLINE SYNPOWER 0W20 (5 LITRO);348;10;1;;1;580;;;;;
0040;GARRAFA VALVOLINE SYNPOWER 5W20 (5 LITROS);348;10;1;;1;580;;;;;
0041;GARRAFA VALVOLINE SYNPOWER 5W30 (5 LITROS);348;10;1;;1;580;;;;;
0042;GARRAFA VALVOLINE SYNPOWER 10W30 (5 LITROS);348;10;1;;1;580;;;;;
0043;GALON VALVOLINE SINTETICO 5W40 ;294;26;1;;1;490;;;;;
0044;GALON VALVOLINE MAX LIFE ATF ;213;30;1;;1;355;;;;;
0045;GAL�N VALVOLINE 80W90 GL5;189;8;1;;1;315;;;;;
0046;GAL�N DELO 15W40;180;6;1;;1;300;;;;;
0047;GAL�N SHELL HELIX 20W50;120;36;1;;1;200;;;;;
0048;GAL�N SHELL HELIX 40;108;25;1;;1;180;;;;;
0049;GAL�N SHELL RIMULA 15W40;129;45;1;;1;215;;;;;
0050;GARRAFA HAVOLINE 20W50 (5 LITROS);162;10;1;;1;270;;;;;
0051;GAL�N HAVOLINE 20W50;144;28;1;;1;240;;;;;
0052;GARRAFA SUPREME 20W50 (5 LITROS);153;10;1;;1;255;;;;;
