placa;fecha;filtro_aceite;filtro_aire;filtro_diesel;engrase;este_cambio;proximo_cambio;observaciones
Text2;14/04/2015;SI;NO;NO;NO;83076;86078;
P064;14/04/2015;SI;NO;NO;NO;156302;158302;
C319;15/04/2015;SI;NO;NO;NO;666087;669087;
P13;15/04/2015;SI;SI;NO;NO;79850;81850;
P33;15/04/2015;SI;SI;NO;NO;140454;142454;
P118;16/04/2015;SI;SI;NO;NO;86235;88235;
P869;16/04/2015;SI;SI;NO;SI;191716;193716;
P52;16/04/2015;SI;SI;NO;NO;146608;148608;
211;16/04/2015;SI;NO;;;72220;75220;
P812;16/04/2015;SI;SI;NO;NO;182716;184716;
P612;17/04/2015;SI;NO;SI;SI;150106;153106;
P552;17/04/2015;SI;NO;NO;NO;79969;81969;
P751;17/04/2015;SI;NO;NO;NO;SOLO FECHA;;
P623;17/04/2015;SI;NO;NO;NO;91129;93129;
P477;18/04/2015;SI;SI;NO;SI;1000;3000;
P016;22/04/2015;SI;SI;NO;NO;100631;103631;
P117;22/04/2015;SI;NO;NO;NO;18374;21374;
P102;23/04/2015;SI;NO;NO;NO;148493;150493;
P824;23/04/2015;SI;NO;NO;NO;139354;141354;
P362;24/04/2015;SI;SI;NO;SI;90734;92734;
P927;24/04/2015;SI;NO;NO;NO;42342;44342;
P059;25/04/2015;SI;NO;NO;NO;196352;199352;
P237;25/04/2015;SI;SI;SI;SI;64850;67850;
P823;27/04/2015;SI;NO;NO;NO;60049;63049;
P892;27/04/2015;SI;SI;NO;SI;31956;34956;
P068;28/04/2015;SI;SI;NO;SI;177972;182972;
P065;28/04/2015;SI;NO;NO;NO;77257;79257;SE LE CAMBIO EMPAQUE TAPA DE VALVULAS
686;28/04/2015;SI;NO;NO;NO;SOLO FECHA;SOLO FECHA;
P094;30/04/2015;SI;NO;NO;NO;175841;177841;
P927DXJ;30/04/2015;SI;SI;NO;NO;SOLO FECHA;SOLO FECHA;
P228;30/04/2015;SI;SI;;;153563;156563;SE CAMBIO ACEITE DE CAJA MECANICA
P490;1/05/2015;SI;SI;NO;NO;95879;97879;
P667;2/05/2015;SI;NO;NO;NO;225621;227621;
P230;2/05/2015;SI;NO;NO;NO;222857;224857;
P080DKT;4/05/2015;SI;SI;SI;SI;114550;117550;
P111;4/05/2015;SI;NO;NO;NO;177620;179620;
P246;5/05/2015;SI;NO;NO;NO;70203;72203;
P321;5/05/2015;SI;NO;NO;SI;24792;27792;
P285;5/05/2015;SI;NO;NO;NO;162451;164451;
P227;6/05/2015;SI;NO;NO;SI;368000;370000;
P696;6/05/2015;SI;NO;NO;NO;126519;128519;
P287;7/05/2015;SI;SI;NO;NO;128367;130367;SE LE HIZO CAMBIO DE ACEITE A CAJA AUT.
P491FTD;7/05/2015;SI;NO;NO;NO;132128;134128;
P597;8/05/2015;SI;SI;NO;SI;SOLO FECHA;SOLO FECHA;SE LE CAMBIO ACEITE DE CATARINA
P628;8/05/2015;SI;SI;NO;SI;224577;227577;
P006;8/05/2015;SI;NO;NO;NO;51548;53548;
P573;8/05/2015;SI;SI;NO;NO;49659;51659;
P226;9/05/2015;SI;NO;NO;NO;102028;104028;
P835;9/05/2015;SI;NO;NO;NO;81885;83885;
P44;9/05/2015;SI;NO;NO;NO;175822;177822;
P157;11/05/2015;SI;SI;NO;SI;27576;30576;
P793;11/05/2015;SI;SI;SI;SI;50500;53500;
P216;11/05/2015;SI;NO;NO;SI;203785;206785;
P483;11/05/2015;SI;SI;NO;SI;35422;38422;
P059FKZ;11/05/2015;SI;SI;;;199846;202846;
P554FFX;12/05/2015;SI;SI;SI;SI;112664;117664;
P624FTX;12/05/2015;SI;NO;NO;NO;951185;97185;
P598FNK;6/03/2015;SI;NO;NO;SI;230221;232221;
P598FNK;12/05/2015;NO;NO;NO;NO;230927;;SE CAMBIO ACEITES DE CATARINAS CAJAS Y SERVICIO DE CAJA AUTOMATICA.
P851FFN;12/05/2015;SI;NO;NO;NO;73559;76559;
P415CDQ;6/05/2015;SI;NO;NO;SI;206722;208722;
P840FKB;13/05/2015;SI;NO;NO;NO;77546;79546;
P344BTF;13/05/2015;SI;SI;NO;NO;43408;45408;SE HIZO CAMBIO DE ACEITE A CATARINA Y CAJA AUTOMATICA
P133DVG;14/05/2015;SI;NO;NO;NO;106222;108222;
P621FML;15/05/2015;SI;SI;NO;NO;122962;124962;
P215FQK;15/05/2015;SI;NO;NO;NO;87092;89092;SE HIZO LAVADO DE MOTOR
P898FMY;15/05/2015;SI;NO;NO;NO;125339;127339;
P210FNK;15/05/2015;SI;NO;NO;NO;106542;108542;SE HIZO CAMBIO DE ACEITE A CAJA AUT.ENGRASE Y CAMBIO DE GUARDAPOLVO DE FLECHA LADO IZQUIERDO
P895DRP;16/05/2015;SI;NO;SI;SI;154317;157315;
P398CWC;16/05/2015;SI;SI;NO;NO;202099;204099;
P974DSF;16/05/2015;SI;SI;NO;SI;159242;161242;
P674DSF;;;;;;;;
P341FDW;18/05/2015;SI;SI;SI;SI;51075;56075;
P065FTY;18/05/2015;SI;SI;NO;NO;107413;109413;
P888FRN;18/05/2015;SI;SI;NO;NO;46027;48027;
P773FKZ;19/05/2015;SI;SI;NO;NO;86373;88373;SE HIZO CAMBIO DE ACEITE A CAJA AUT.
P951FFS;20/05/2015;SI;NO;NO;NO;96607;98607;
P494BRB;21/05/2015;SI;NO;NO;NO;207162;210162;
P929FTY;21/05/2015;SI;SI;NO;SI;114677;116677;
P264BZS;22/05/2015;SI;NO;NO;NO;137155;139155;
P324FVC;16/02/2015;SI;NO;NO;NO;101872;103872;SE CAMBIO ACEITE DE CAJA AUT.
P324FVC;22/05/2015;SI;NO;NO;NO;104006;106006;
P434BBY;22/05/2015;SI;SI;NO;NO;74702;77702;
P56FHM;22/05/2015;SI;NO;NO;NO;70945;72945;
P675DTM;22/05/2015;NO;NO;NO;NO;249300;;SE HIZO CAMBIO DE ACEITE A CAJA AUT.
P527DBT;23/05/2015;SI;NO;NO;NO;150557;152557;
P593FNJ;23/05/2015;SI;NO;NO;NO;102899;104899;SE HIZO LAVADO DE MOTOR
P464FLF;23/05/2015;SI;NO;NO;SI;192805;194805;
P347DVF;23/05/2015;SI;NO;NO;SI;148240;151240;
P059FKZ;23/05/2015;SI;NO;NO;NO;203063;206063;
P670FDL;23/05/2015;SI;NO;NO;NO;193462;195462;SE HIZO LAVADO DE MOTOR
P794FCS;23/05/2015;SI;SI;NO;SI;123644;126644;SE HIZO FLUSHING
P633FJV;25/05/2015;SI;SI;NO;SI;130292;132292;
PAM9161;26/05/2015;SI;NO;NO;SI;178796;181796;SE HIZO LAVADO DE MOTOR
P261FTH;26/05/2015;SI;NO;NO;SI;21403;24403;
P038FNK;27/05/2015;SI;SI;NO;NO;54806;56806;
P947FQF;27/05/2015;NO;NO;NO;NO;87911;;SE HIZO CAMBIO DE ACEITE A CAJA AUT.
P553DGN;27/05/2015;SI;SI;NO;SI;153500;158500;
P397DCD;28/05/2015;SI;SI;NO;SI;156052;159052;
P097DPK;28/05/2015;SI;NO;NO;NO;132504;135504;
C383;29/05/2015;SI;NO;SI;NO;164838;169838;
P379FMG;29/05/2015;SI;NO;NO;NO;144041;146041;
P330DWK;29/05/2015;SI;NO;NO;NO;67056;69056;
P856BNR;29/05/2015;SI;SI;NO;NO;160799;162799;
P011DPH;29/05/2015;SI;SI;NO;NO;120155;122155;
P909FQM;29/05/2015;SI;NO;NO;NO;198843;200843;
P740FRW;29/05/2015;SI;SI;NO;NO;73742;75742;
P274BZF;30/05/2015;SI;NO;NO;NO;92290;94290;
P671DVR;30/05/2015;SI;SI;NO;NO;81322;83322;SE HIZO CAMBIO DE ACITE A CAJA AUT.
P799DZD;30/05/2015;SI;NO;NO;NO;105922;107922;
P608BXG;1/06/2015;SI;NO;NO;SI;236753;241753;
P265FKF;1/06/2015;SI;NO;NO;NO;174626;176626;
P831DNF;1/06/2015;SI;SI;SI;SI;311747;314747;
P994FRF;1/06/2015;SI;NO;NO;NO;14998;17998;
P869DLG;1/06/2015;SI;NO;NO;SI;192983;194983;SE CAMBIO ACEITES DE CAT. Y CAJAS.
P871FKJ;2/06/2015;SI;SI;NO;NO;229990;231990;
P274FPL;2/06/2015;SI;SI;NO;NO;72904;74904;
P686CYH;2/06/2015;SI;NO;NO;NO;SOLO FECHA;SOLO FECHA;
P499FLH;3/06/2015;SI;NO;NO;NO;57798;59978;
P257DWB;3/06/2015;SI;NO;NO;NO;112159;114159;
P891DRM;3/06/2015;SI;NO;NO;NO;80734;82734;
P160DWC;3/06/2015;SI;NO;NO;NO;199904;201904;
P017DGY;3/06/2015;SI;NO;NO;SI;163805;165805;
P700DHW;4/06/2015;SI;NO;NO;SI;157508;162508;C/FAJA DE TIEMPO. CANDELAS PREC. Y EMP. TAPA DE VALVULAS
P102FNK;23/04/2015;SI;NO;NO;NO;148493;150493;
P102FNK;5/06/2015;SI;SI;NO;NO;150011;152011;
P923FPC;5/06/2015;SI;SI;NO;SI;41444;44444;
P823DZS;5/06/2015;SI;SI;NO;NO;63095;66095;
P925DKQ;6/03/2015;SI;SI;NO;NO;152972;154972;
P925DKQ;5/06/2015;SI;NO;NO;NO;156590;158590;
P169CKK;6/06/2015;SI;NO;NO;NO;187060;189060;SE HIZO LAVADO DEMOTOR
P284DWC;6/06/2015;SI;SI;NO;NO;184177;186177;
P142DDN;8/06/2015;SI;SI;SI;SI;188150;191150;SE CAMBIO ACEITES DE CAJAS Y CATARINAS.
P356FNP;8/06/2015;SI;NO;NO;SI;52303;55303;
P950CDS;8/06/2015;SI;NO;NO;SI;285218;288218;
P755CPX;8/06/2015;SI;NO;NO;SI;342944;345944;
P118FQT;9/06/2015;SI;NO;NO;NO;89000;91000;
P458FSB;9/06/2015;NO;NO;NO;NO;149905;151905;
P054DNF;12/06/2015;SI;SI;NO;SI;171612;174612;
P418FDH;14/03/2015;SI;SI;NO;SI;115246;118246;
P418FDH;13/06/2015;SI;NO;SI;SI;119618;122618;
P695DZK;15/06/2015;SI;NO;NO;NO;118850;120850;
P555FRM;15/06/2015;SI;NO;NO;NO;59296;61296;
P289FNP;15/06/2015;SI;SI;NO;NO;16429;18429;
P082DXY;15/06/2015;SI;SI;NO;NO;130365;132365;SE HIZO LAVADO DE MOTOR
P493FMK;16/06/2015;SI;NO;NO;NO;127409;129409;
P030FNK;16/06/2015;SI;SI;NO;NO;58748;60748;
P528;;;;;;;;
P528FDP;17/06/2015;SI;NO;NO;SI;147444;149444;SE CAMBIO ACEITE DE CAJA Y CATARINA.
P455CBY;18/06/2015;SI;NO;NO;NO;297972;299972;SE CAMBIARON TERMINALES DE BATERIA
P719FQJ;15/06/2015;SI;SI;NO;NO;181173;183173;SE CAMBIARON CANDELAS
P695DSL;18/06/2015;SI;SI;NO;NO;101328;103328;
P931FQR;18/06/2015;SI;NO;NO;NO;43234;45234;
P523FJC;18/06/2015;SI;SI;NO;NO;140421;142421;
P757FSD;18/06/2015;SI;SI;NO;NO;10249;13249;
P261FTH;19/06/2015;SI;NO;NO;SI;24580;27580;SE HIZO LAVADO DE MOTOR
P878DWB;20/06/2015;SI;SI;SI;SI;167157;172157;
P252DVR;28/02/2015;SI;NO;SI;SI;108761;111761;SE HIZO LAVADO DE MOTOR
P252DVR;20/06/2015;SI;SI;NO;SI;115000;118000;
P490FJL;20/06/2015;SI;SI;NO;NO;97731;99731;
P925CWG;20/06/2015;SI;SI;NO;NO;130058;132058;SE HIZO LAVADO DE MOTOR
P252DRT;20/06/2015;SI;NO;NO;NO;35252;37252;
P812FTY;20/06/2015;SI;NO;NO;NO;182716;184716;
P358FNP;22/06/2015;SI;NO;NO;SI;64968;67968;SE HIZO FLUSHING Y LAVADO DE MOTOR
P871FKJ;23/06/2015;SI;NO;NO;NO;232726;234726;
P927FGT;23/06/2015;SI;NO;NO;NO;93558;95558;
P816FTZ;23/06/2015;SI;NO;NO;NO;104966;106966;
P770FPX;23/06/2015;SI;NO;NO;NO;103726;105726;
P486DCL;24/06/2015;SI;SI;NO;NO;64260;66260;SE CAMBIO REFRIGERANTE
P157FJ;25/06/2015;SI;NO;NO;SI;31607;34607;SE HIZO LAVADO DE MOTOR
P474DNS;26/02/2015;SI;SI;NO;SI;235824;237824;SE HIZO CAMBIO DE ACEITE A CAJA AUT.
P474DNS;26/06/2015;SI;NO;NO;SI;238941;240941;
P675DTM;26/06/2015;SI;NO;NO;NO;250775;252775;
P624FTX;26/06/2015;SI;NO;NO;NO;97198;99198;
P951FCV;26/06/2015;SI;SI;NO;SI;78743;81743;
P686CYH;26/06/2015;SI;NO;NO;NO;SOLO FECHA;SOLO FECHA;
P270FPZ;26/06/2015;SI;SI;NO;NO;58742;60742;
P351DDW;26/06/2015;SI;SI;NO;NO;44587;46587;SE HIZO CAMBIO DE ACEITE A CAJA AUT.
P422FNK;27/06/2015;SI;SI;NO;NO;107595;109595;
P815DZY;30/06/2015;SI;NO;NO;NO;129955;131955;SE HIZO LAVADO DE MOTOR.
P482FFZ;30/06/2015;SI;NO;NO;SI;69746;72746;
P869CRQ;30/06/2015;SI;SI;NO;NO;108754;110754;
P512FDQ;30/06/2015;SI;NO;NO;NO;120951;122951;
P493DHL;1/07/2015;SI;NO;NO;SI;165082;170082;
P768FKB;20/03/2015;SI;SI;NO;NO;49454;51454;
P768FKB;1/07/2015;SI;NO;NO;NO;51710;53710;SE HIZO CAMBIO DE ACEITE A CAJA AUT.
P414DVQ;1/07/2015;SI;SI;NO;SI;194173;197173;SE HIZO LAVADO DE MOTOR
P901FRW;1/07/2015;SI;NO;NO;NO;172500;174500;SE HIZO CAMBIO DE ACEITE A CAJA AUT.
P444FFK;2/07/2015;SI;NO;NO;NO;177093;179093;
C383BMM;3/07/2015;SI;SI;SI;NO;171254;176254;
P594DCZ;3/07/2015;SI;NO;NO;NO;76276;78276;
P523FSG;3/07/2015;SI;NO;NO;NO;15678;18678;
P216CGS;4/07/2015;SI;;SI;SI;206916;209916;
P851FFN;4/07/2015;SI;SI;NO;NO;78779;81779;
P564DFH;6/07/2015;SI;NO;NO;SI;SOLO FECHA;SOLO FECHA;
P564DFH;;;;;;;;
P080DTK;6/07/2015;SI;SI;NO;SI;118324;121324;
