placa;fecha;filtro_aceite;filtro_aire;filtro_diesel;engrase;este_cambio;proximo_cambio;observaciones
P506HSS;19/08/2025;SI;NO;NO;NO;155,562;157,562;
C783BVC;19/08/2025;SI;NO;SI;SI;66,838;71,838;FRENOS DELANTEROS
P928GPV;19/08/2025;SI;SI;NO;NO;193,888;195,888;
P184KMZ;19/08/2025;SI;SI;NO;NO;192,377;195,377;
P349KLX;19/08/2025;SI;SI;NO;NO;169,977;171,977;C/F CABINA
P957DJV;19/08/2025;SI;NO;NO;SI;S/F;S/F;C/A CATARINA Y TRANSFER
P290JDK;19/08/2025;SI;NO;NO;NO;53,700;58,700;C/F CABINA, BALANCEO Y ROTACION
P591JRB;19/08/2025;SI;SI;SI;NO;100,477;105,477;C/A CAJA AUT, C/REFRIGERANTE
P458KPV;19/08/2025;SI;NO;NO;NO;144,046;147,046;LAVADO DE MOTOR
P247LDL;19/08/2025;SI;NO;NO;NO;72,291;77,291;
P131GBH;19/08/2025;SI;NO;NO;NO;231,145;234,145;
P760JCX;19/08/2025;SI;SI;NO;NO;139,144;142,144;C/F CABINA
P302GYW;20/08/2025;SI;SI;NO;NO;143,940;146,940;
P250KVT;20/08/2025;SI;SI;NO;NO;143,207;146,207;C/F CABINA
P988GSM;20/08/2025;SI;SI;SI;NO;164,510;169,510;C/F CABINA, FLUSHING, LAV DE MOTOR
P643JJD;20/08/2025;SI;NO;NO;NO;100,324;105,324;RECTIF DE DISCOS DELANT Y TRASEROS, FRENOS, C/LIQ FRENOS
P389GYW;20/08/2025;NO;NO;NO;NO;235,632;245,632 CAJA AUT;C/A CAJA AUT, DESMONTAJE Y MONTAJE CAJA C/EMPAQUES, C/MULETAS
C177BWZ;20/08/2025;SI;NO;NO;SI;80,407;85,407;
C603BYG;21/08/2025;NO;NO;NO;NO;NO;NO;MANT DE FRENOS TRASEROS, C/BOMBAS AUXILIARES TRASERAS
P656HRV;21/08/2025;NO;NO;NO;NO;NO;NO;C/A CAJA AUT, MEC VARIA ORDEN NO. 13119
P820KXP;21/08/2025;SI;SI;NO;NO;47,782;50,782;C/F CABINA, RECTIF. DISCOS TRASEROS, FRENOS TRASEROS
P843JTW;21/08/2025;NO;NO;NO;NO;NO;NO;C/EMPAQUES VALVULAS V.TEC, C/EMPAQUE TAPAVALVULAS, C/BOMBA TIMON HIDRAU.
P711KPH;22/08/2025;NO;NO;NO;NO;NO;NO;RECT DISCOS Y TAMBORES, FRENOS, C/LIQ FRENOS
P655GMD;22/08/2025;SI;NO;NO;NO;155,349;157,349;
P311KYH;22/08/2025;SI;SI;NO;NO;97,850;101;C/F CABINA, LAVADO DE MOTOR
P825GGP;22/08/2025;NO;NO;NO;NO;NO;NO;C/BOMBA AUX DE CLUTCH
C467BYT;22/08/2025;SI;NO;NO;NO;52,290;57,290;C/RETENEDOR CATARINA DELANTERA
P754FQC;22/08/2025;NO;NO;NO;NO;NO;NO;MECANICA VARIA ORDEN NO. 13122
P755KYG;23/08/2025;SI;NO;NO;NO;105,817;108,817;
P340DPL;23/08/2025;NO;NO;NO;NO;NO;NO;C/A CAJA AUT 290,502-300,502
P107DPS;23/08/2025;SI;SI;NO;NO;125,503;128,503;C/F CABINA
P362BGC;23/08/2025;SI;SI;NO;SI;102,966;105,966;
P334KLX;23/08/2025;SI;SI;NO;NO;120,614;123,614;C/F CABINA, RECT DE DISCOS, FRENOS
P174BCN;23/08/2025;SI;NO;NO;NO;207,267;209,267;C/BOMBILLAS PIDE VÌA
