P789GKF;2016;B14;1.4;XX;5;1 GARRAFA;QUAKER FULL S;10W30;PH 2840;AF-1109013-G03;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P343JFJ;2014;CAPTIVA;XX;XX;7;XX;XX;XX;XX;XX;XX;MAXLIFE ATF;X;X;X;X;XX;X;X;1 GL 3 LITROS;XX;XX;X;XX;X;X;X;X;X;X
P044JKM;2013;SPARK;1.2;X;7;4 LITROS;MOTUL BARRIL;20W50;PLBS 060;CA 11469;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P127FRW;2005;AVEO;XX;XX;7;1 GARRAFA;QUAKER F;10W30;PH 47;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P247LDL;2011;SPARK;XX;XX;7;1 GARRAFA;QUAKER FULL S;5W30;PLBS 060;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P608HWR;2013;SPARK;X;X;7;1 GARRAFA;EUROL;10W30;PLBS 060;CA 11469;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P557LGW;2015;TAHOE;5.3  V8;XX;7;1 GARRAFA 3 LTS;QUAKER FULL S;5W20;PH 500;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P769LFN;2017;CHALLANGER;5.7;;8;1 GARRAFA 1 LTO;QUAKER FULL S;5W20;PH 820;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P903LJV;2018;ECOSPORT;2;X;10;1 GARRAFA;VALVOLINE FULL;5W20;PH 2835;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P928GPV;2006;ESCAPE;3;XX;10;6 LITROS;MOTUL (TONEL);20W50;PH 820;CA 8997;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P330KNX;2013;ESCAPE;1.6;X;10;1 GARRAFA;MAX LIFE;5W30;PH 2835;CA 11114;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P493LLC;2014;F150;3.5;V6;10;1 GARRAFA 1 LTO;MAGNATEC;10W30;WIX 57502;X;X;CASTROL ATF;X;X;X;X;X;X;X;2 GALONES;FT 1236;X;X;X;X;X;X;X;X;X
P869LDN;2014;FIESTA;XX;XX;10;1 GARRAFA;EUROL;10W30;PH 2835;CA 10997;XX;VALVOLINE S. DCT;X;X;X;X;XX;X;X;3 LITROS;XX;K 1310;X;XX;X;X;X;X;X;X
P207KYV;2024;TUNLAND G7;º2.0;X;11;5.5 LITROS;MOTUL BARRIL;15W40;DF-CJ-SH40X20136;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P755KYG;XX;CIVIC;XX;XX;18;1 GARRAFA;QUAKER FULL S;5W20;PH 2867;XX;XX;XX;X;X;X;X;XX;X;X;XXQ;XX;XX;X;XX;X;X;X;X;X;X
P509KNX;2011;CIVIC;XX;XX;18;XX;XX;XX;X;XX;X;CASTROL ATF;X;X;X;X;X;X;X;1 GALON;FT R5L003;XX;X;XX;X;X;X;X;X;X
P031LHL;2018;CIVIC;1.5;X;18;1 GARRAFA;VALVOLINE SINT.;0W20;PH 2867;X;X;X;X;X;X;X;X;X;X;X;X;CF 10285;X;X;X;X;X;X;X;X
P371GBK;2005;CIVIC;1.7;X;18;4 LITROS;MAXLIFE BARRIL;10W30;PH 2867;X;X;CASTROL ATF;X;X;X;X;X;X;X;1 GALON;X;X;X;X;X;X;X;X;X;X
P887KJN;2015;CIVIC;1.8;X;18;1 GARRAFA;QUAKER FULL S;0W20;PH 2867;PAB 11113;X;CASTROL ATF/CVT;X;X;X;X;X;X;X;1 GALON 2 LTO;FT 5T0-003/ FT1219;CF 10134;X;X;X;X;X;X;X;X
P419LMF;2008;CIVIC;X;X;18;X;X;X;X;X;X;CASTROL ATF;X;X;X;X;X;X;X;1 GALON;FT R5-L003;;X;X;X;X;X;X;X;X
P014LDP;2014;CRV;XX;XX;18;1 GARRAFA;QUAKER FULL S;5W30;PH 2867;CA 11258;XX;MAXLIFE ATF;X;X;X;X;XX;X;X;1 GALON;FT R5L003;CF 10134;X;XX;X;X;X;X;X;X
P637KQK;2007;CRV;2.4;XX;18;5 LITROS;MOTUL BARRIL;10W30;PH 2867;CA 10344;XX;XX;X;X;X;X;XX;X;X;XX;XX;CF 10134;X;XX;X;X;X;X;X;X
P505LCQ;2006;CRV;2.4;A;18;1 GARRAFA;MAXLIFE;20W50;PH 2867;CA 9493;XX;MAXLIFE ATF;X;X;X;X;SOLO AGENCIA;X;X;4 LITROS;FT R5L003;CF 10135;X;XX;X;X;X;X;X;X
P826KQK;2012;CRV;X;X;18;X;X;X;X;X;X;MAXLIFE ATF;X;X;X;X;X;X;X;1 GALON;FT R5L003;X;X;X;X;X;X;X;X;X
