placa;modelo;linea;motor;cilindraje;marca_id;created_at;updated_at;cantidad_aceite_motor;marca_aceite;tipo_aceite;filtro_aceite;filtro_aire;cantidad_aceite_cc;marca_cc;tipo_aceite_cc;filtro_aceite_cc;filtro_de_enfriador;tipo_caja;cantidad_aceite_diferencial;marca_aceite_d;tipo_aceite_d;cant_aceite_transfer;marca_aceite_t;tipo_aceite_t;filtro_cabina;filtro_diesel;contra_filtro_diesel;candelas;pastillas_delanteras;pastillas_traseras;fajas;aceite_hidraulico
P234JGZ;2016;MDX;3.5;X;1;X;X;6LITROS;VALVOLINEFULL;10W30;PH2876;X;X;X;X;X;X;X;X;X;X;X;X;CF10134;X;X;X;X;X;X;X;X
P667JLL;2005;TL;3.2;XX;1;X;X;4.5LITROS;MAXLIFEBARRIL;10W30;PH2867;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P061GWL;2009;TSX;2.4;XX;1;X;X;1GARRAFA;MAXLIFE;5W20;PH2867;XX;X;X;X;X;X;X;X;X;X;XX;XX;X;X;XX;X;X;X;X;X;X
P950FNB;2014;XX;XX;XX;2;X;X;1GARRAFA2LTOS;MOTUL;5W40;OE688;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P058GWD;Q7;XX;XX;V6;3;X;X;7LTOS.1/2;VALV.FULLSYN;5W20;OE640;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P438FRM;2012;A4;XX;XX;3;X;X;1GARRAFA;QUAKER;5W30;PH610;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P907GJK;XX;XX;XX;XX;4;X;X;2GLS.;CASTROLMAG.;10W30;CH10075;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P827FDX;XX;XX;XX;XX;4;X;X;7LTOS.;VALV.FULLSYNT;10W30;CH8081;CA5350;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P715JCX;X3;XX;2004;XX;4;X;X;XX;XX;XX;XX;XX;XX;CASTROLATF;X;X;X;X;XX;X;X;6LTS;FT1234;XX;X;XX;X;X;X;X;X;X
P531JJD;2005;X3;XX;XX;4;X;X;7LTOS.;VALV.MAXLIFE;5W30;CH8081;CA5350;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P311FQV;2004;530;XX;V-6;4;X;X;9LTOS.;VALV.MAXLIFE;5W30;OE649/CH10075;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P723HMS;2016;X5;XX;XX;4;X;X;7LTOS.;VALV.FULLSINT.;10W30;OE649/9;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P531DXG;2010;320I;X;X;4;X;X;6LITROS;MOTUL;20W50;OE649/6;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P467GCH;2003;325I;2.5;V6;4;X;X;7LTOS.;CASTROLMAG.;10W30;CH8081;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P748FWP;2006;325I;3;V-6;4;X;X;7LTOS.APROX.;CASTROLMAG.;10W30;OE649/974;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P927GFY;2007;328I;3;V6;4;X;X;1GL.3LTOS.;CASTROLMAG.;10W30;CH10075;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P076KWN;2011;535I;3;X;4;X;X;7LITROS;MAGNATEC;10W30;OE649/9;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P462FNC;2013;X1;XX;XX;4;X;X;6LITROS;MOTUL;5W40;OE649/9;XX;XX;X;X;X;X;X;X;X;X;X;XX;X;X;XX;X;X;X;X;X;X
P010GFQ;2007;X3;3;V6;4;X;X;7LTOS.;QUAKERFULLSYN;5W30;CH10075/OE649-9;FF-APO28/3;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P852JGY;2004;X3;2.5;XX;4;X;X;6.5LITRS;MAXLIFEBARRIL;10W30;WIX51223;CA5350;X;MAXLIFEATF;X;X;X;X;XX;X;X;4LITROS;X;XX;X;XX;X;X;X;X;X;X
P648JQC;2010;X3;3;XX;4;X;X;8LITROS;MAGNATEC;10W30;OE649/9;XX;X;CASTROLATF;X;X;X;X;XX;X;X;5LITROS;FT314-137-0005/5;XX;X;XX;X;X;X;X;X;X
P891JZH;2006;X3;XX;XX;4;X;X;1GARRAFA2LTS;EUROL;10W30;8081;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P417DSB;2009;X5;XX;XX;4;X;X;9LTS;VECTON;15W40;OE649/8;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P262KLQ;2013;X5;XX;X;4;X;X;2GALONES;VALVOLINESINT;5W40;OE671/4;XX;XX;XXX;X;X;X;X;XX;X;X;X;XX;XX;X;XX;X;X;X;X;X;X
P326BGL;2005;X5;X;V8;4;X;X;9LITROS;MOTUL;10W30BARRIL;WIX57171;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P527HDK;XX;BUS;XX;4;19;X;X;6LTOS.BARRIL;MOTUL;15W40;LFP805;17801-54100;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;FP941F;X;X;X;X;X;X
C246BLH;XX;CAMION;XX;XX;7;X;X;8LTOS.BARRIL;CASTROLCRB;15W40;PH561;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;PB50;X;X;X;X;X;X
P247DCX;2007;CAMIONCITO;2.7;4;25;X;X;7LTOS.;CASTROLBARRIL;15W40;LFP805;PABS107;75W90GL5;XX;X;X;X;X;80W90GL5;X;X;XX;XX;XX;X;FP570F;X;X;X;X;X;X
C671BMK;XX;CAMIONCITO;XX;4;25;X;X;6LTOS.;QUAKERTONEL;15W40;LFP805;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P468DNP;XX;CAMIONCITO;XX;X;25;X;X;7LTOS.;MOTULBARRIL;15W40;LFP805;PABS107;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;FP941F;X;X;X;X;X;X
